ID,ID_SENTENCE,ORI_SENTENCE,PAPER,JOURNAL,MOVE,STEP,CLASSIFIED_BY,LABEL
18,18,(3) What needs to be done in practice before interfaces can be refactored automatically using cluster analysis?,10.1109-ase.2008.54,ase,Occupying the niche,Setting out the research questions or hypotheses,LETRA_PRODIGY,M3-S08
19,19,The paper is structured as follows.,10.1109-ase.2008.54,ase,Occupying the niche,"Outlining the structure of a chapter, paper, thesis or dissertation",LETRA_PRODIGY,M3-S12
20,20,The next section offers a summary of related work in the area of cluster analysis and interface redesign.,10.1109-ase.2008.54,ase,Occupying the niche,"Outlining the structure of a chapter, paper, thesis or dissertation",LETRA_PRODIGY,M3-S12
21,21,"In Section 3, we describe our clustering.",10.1109-ase.2008.54,ase,Occupying the niche,"Outlining the structure of a chapter, paper, thesis or dissertation",LETRA_PRODIGY,M3-S12
22,22,"Then, in Section 4, we introduce the industrial case that motivated our research.",10.1109-ase.2008.54,ase,Occupying the niche,"Outlining the structure of a chapter, paper, thesis or dissertation",LETRA_PRODIGY,M3-S12
23,23,In Section 5 we describe the interactive tool we developed to apply cluster analysis to cases like these.,10.1109-ase.2008.54,ase,Occupying the niche,"Outlining the structure of a chapter, paper, thesis or dissertation",LETRA_PRODIGY,M3-S12
24,24,The results of the actual case are covered in Section 6.,10.1109-ase.2008.54,ase,Occupying the niche,"Outlining the structure of a chapter, paper, thesis or dissertation",LETRA_PRODIGY,M3-S12
25,25,"We conclude the paper with a discussion of our findings, a summary of our contributions, and an outlook to future work.",10.1109-ase.2008.54,ase,Occupying the niche,"Outlining the structure of a chapter, paper, thesis or dissertation",LETRA_PRODIGY,M3-S12
26,0,Concurrent programs are prone to a variety of threadsafety violations arising from the presence of data race conditions and deadlocks.,10.1109-ase.2009.14,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
27,1,"In practice, data races are abundant and difficult to debug.",10.1109-ase.2009.14,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
28,2,"Thus, they have garnered considerable attention from the program analysis community.",10.1109-ase.2009.14,ase,Establishing the territory,Establishing the importance of the topic for the world or society,LETRA_PRODIGY,M1-S02
29,3,A knee-jerk response to avoiding race conditions is evident in the prolific use of locking constructs in concurrent programs.,10.1109-ase.2009.14,ase,Establishing the territory,Establishing the importance of the topic for the world or society,LETRA_PRODIGY,M1-S02
30,4,Languages such as Java have promoted this by providing a convenient synchronized construct to specify lock acquisition.,10.1109-ase.2009.14,ase,Establishing the territory,Establishing the importance of the topic for the world or society,LETRA_PRODIGY,M1-S02
31,5,"Locking is sometimes naively used as a “safe” practice, rather than as a requirement.",10.1109-ase.2009.14,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
32,6,"Overzealous locking not only causes unnecessary overhead, but can also lead to unforeseen deadlocks.",10.1109-ase.2009.14,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
33,7,"Deadlocks can severely impair real-time applications such as webservers, database systems, mail-servers, device drivers, and mission-critical systems with embedded devices, and typically culminate in loss of data, unresponsiveness, or other safety and liveness violations.",10.1109-ase.2009.14,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
34,8,"In this paper, we focus on deadlocks arising from circular dependencies in shared resources such as locks.",10.1109-ase.2009.14,ase,Occupying the niche,"Stating the focus, aim, purpose or argument of the current research",LETRA_PRODIGY,M3-S07
35,9,"Deadlock detection is a well-studied problem, and both static and dynamic approaches have been proposed [1–7]. Typically, such techniques construct lock-order graphs that track dependencies between locks for each thread.",10.1109-ase.2009.14,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
36,10,"Lock-order graphs for concurrent threads are then merged, and a cycle in the resulting graph indicates a possibility of a deadlock.",10.1109-ase.2009.14,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
37,11,"Such techniques typically assume a closed system, and are thus useful for detecting existing deadlocks in a given application.",10.1109-ase.2009.14,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
38,12,"However, most software is designed compositionally and treating individual components as closed systems could lead to potential deadlocks being undetected.",10.1109-ase.2009.14,ase,Establishing a niche,"Identifying and highlighting inadequacies, weaknesses, controversies and negative outcomes within the field of study",LETRA_PRODIGY,M2-S05
39,13,"In particular, consider the now prevalent concurrent libraries, i.e., collections of modules that support concurrent access by multiple client threads.",10.1109-ase.2009.14,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
40,14,Modular design principles mandate that the onus of ensuring thread safety rests with the developer of such a library.,10.1109-ase.2009.14,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
41,15,This has an undesirable side-effect: several details of synchronization are obscured from the developer of client code that makes use of this library.,10.1109-ase.2009.14,ase,Establishing a niche,"Identifying and highlighting inadequacies, weaknesses, controversies and negative outcomes within the field of study",LETRA_PRODIGY,M2-S05
42,16,"Consequently, the developer may unintentionally invoke library methods in ways that can cause deadlocks.",10.1109-ase.2009.14,ase,Establishing a niche,"Identifying and highlighting inadequacies, weaknesses, controversies and negative outcomes within the field of study",LETRA_PRODIGY,M2-S05
43,17,"Analyzing concurrent libraries for deadlocks has two main aspects: First of all, we wish to identify if, for any client, there are library methods that can be concurrently called in a manner that causes a deadlock.",10.1109-ase.2009.14,ase,Occupying the niche,"Stating the focus, aim, purpose or argument of the current research",LETRA_PRODIGY,M3-S07
44,18,This is termed the deadlockability problem.,10.1109-ase.2009.14,ase,Occupying the niche,"Stating the focus, aim, purpose or argument of the current research",LETRA_PRODIGY,M3-S07
45,19,"Secondly, we wish to use the results of this analysis to search for the existence of deadlocks in a particular client that invokes these library methods.",10.1109-ase.2009.14,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
46,20,Deadlockability analysis was first introduced by Williams et al. [,10.1109-ase.2009.14,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
47,21,"7]. Therein, the authors construct a lock-order graph for each library method.",10.1109-ase.2009.14,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
48,22,The types of syntactic expressions corresponding to object monitors are used as conservative approximations for the may-alias information between these monitors.,10.1109-ase.2009.14,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
49,23,"The authors show that their approach helps in identifying important potential deadlocks; however, their approach is susceptible to false positives, which have to be then filtered using (possibly unsound) heuristics.",10.1109-ase.2009.14,ase,Establishing a niche,"Identifying and highlighting inadequacies, weaknesses, controversies and negative outcomes within the field of study",LETRA_PRODIGY,M2-S05
50,24,"This paper addresses the same underlying problem as that of Williams et al. [7], under similar assumptions about the underlying language (Java), concurrent libraries, their clients, and the use of synchronization.",10.1109-ase.2009.14,ase,Occupying the niche,"Stating the focus, aim, purpose or argument of the current research",LETRA_PRODIGY,M3-S07
51,25,The key contributions of this paper are as follows: (a),10.1109-ase.2009.14,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
52,26,We reason about possible aliasing patterns between nodes in a lock graph explicitly rather than use types as approximations.,10.1109-ase.2009.14,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
53,27,(b) We reduce the space of possible aliasing patterns between nodes by using a notion of subsumption between aliasing patterns.,10.1109-ase.2009.14,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
54,28,This enables a symbolic approach for enumerating aliases between nodes using SAT-modulo Theory (SMT) solvers.,10.1109-ase.2009.14,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
55,29,The focus on aliasing patterns allows us to rule out infeasible aliases by means of a prior pointer analysis.,10.1109-ase.2009.14,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
56,30,"Overall, our analysis is just as scalable while producing fewer false positives.",10.1109-ase.2009.14,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
57,31,(c) We synthesize logical expressions involving aliasing be-,10.1109-ase.2009.14,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
59,33,2009 IEEE DOI 10.1109/ASE.2009.14 468820 tween the parameters of concurrent method invocations such,10.1109-ase.2009.14,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
60,34,that these expressions guarantee deadlock-free execution of the library methods.,10.1109-ase.2009.14,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
61,35,These contracts can then be used to detect deadlocks in a particular client.,10.1109-ase.2009.14,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
62,0,Web applications provide critical services over the Internet and frequently handle sensitive data.,10.1109-ase.2009.20,ase,Establishing the territory,Establishing the importance of the topic for the world or society,LETRA_PRODIGY,M1-S02
63,1,"Unfortunately, Web application development is error prone and results in applications that are vulnerable to attacks by malicious users.",10.1109-ase.2009.20,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
64,2,According to the Open Web Application Security Project (OWASP),10.1109-ase.2009.20,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
65,3,"’s top ten list that identifies the most serious web application vulnerabilities, the top three vulnerabilities are: 1) Cross Site Scripting (XSS), 2)",10.1109-ase.2009.20,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
66,4,Injection Flaws (such as SQL injection) and 3) Malicious File Execution.,10.1109-ase.2009.20,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
67,5,All these vulnerabilities are due to improper string manipulation.,10.1109-ase.2009.20,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
69,7,Programs that propagate and use malicious user inputs without sanitization or with improper sanitization are vulnerable to these well-known attacks.,10.1109-ase.2009.20,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
70,8,"In this paper, we propose a string analysis approach that 1) identifies if a web application is vulnerable to attacks, and 2) if it is vulnerable, generates a characterization of user inputs that might exploit that vulnerability.",10.1109-ase.2009.20,ase,Occupying the niche,"Stating the focus, aim, purpose or argument of the current research",LETRA_PRODIGY,M3-S07
71,9,Such a characterization is called a vulnerability signature.,10.1109-ase.2009.20,ase,Occupying the niche,"Stating the focus, aim, purpose or argument of the current research",LETRA_PRODIGY,M3-S07
72,10,We focus on vulnerabilities related to string manipulation such as the ones listed above.,10.1109-ase.2009.20,ase,Occupying the niche,"Stating the focus, aim, purpose or argument of the current research",LETRA_PRODIGY,M3-S07
73,11,"Vulnerabilities related to string manipulation can be characterized as attack patterns, i.e., regular expressions that specify vulnerable values for sensitive operations (called sinks).",10.1109-ase.2009.20,ase,Occupying the niche,Describing the research design and the methods used,LETRA_PRODIGY,M3-S09
74,12,"Given an application, vulnerability analysis identifies if there are any input values that a user can provide to the application that could lead to a vulnerable value to be passed to a sensitive operation.",10.1109-ase.2009.20,ase,Occupying the niche,Describing the research design and the methods used,LETRA_PRODIGY,M3-S09
75,13,"Once a vulnerability is identified, the next important question is what set of input values can exploit the given vulnerability.",10.1109-ase.2009.20,ase,Occupying the niche,Describing the research design and the methods used,LETRA_PRODIGY,M3-S09
76,14,A vulnerability signature is a characterization of all such input values,10.1109-ase.2009.20,ase,Occupying the niche,Describing the research design and the methods used,LETRA_PRODIGY,M3-S09
77,15,"[1]. A vulnerability signature can be used to identify how to sanitize the user input to eliminate the identified vulnerability, or it can be used to dynamically monitor the user input and reject the values that can lead to an exploit.",10.1109-ase.2009.20,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
78,16,We use automata-based string analysis techniques for vulnerability analysis and vulnerability signature generation.,10.1109-ase.2009.20,ase,Occupying the niche,Describing the research design and the methods used,LETRA_PRODIGY,M3-S09
79,17,"Our tool takes an attack pattern specified as a regular expression and a PHP program as input and 1) identifies if there is any vulnerability based on the given attack pattern, 2) generates a DFA characterizing the set of all user inputs that may exploit the vulnerability.",10.1109-ase.2009.20,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
80,18,Our string analysis framework uses deterministic finite automaton (DFA) to represent values that string expressions can take.,10.1109-ase.2009.20,ase,Occupying the niche,Describing the research design and the methods used,LETRA_PRODIGY,M3-S09
81,19,"At each program point, each string variable is associated with a DFA.",10.1109-ase.2009.20,ase,Occupying the niche,Describing the research design and the methods used,LETRA_PRODIGY,M3-S09
82,20,"To determine if a program has any vulnerabilities, we use a forward reachability analysis that computes an over- 1527-1366/09 $29.00 © 2009",10.1109-ase.2009.20,ase,Occupying the niche,Describing the research design and the methods used,LETRA_PRODIGY,M3-S09
84,22,5936075 approximation of all possible values that string variables can take at each program point.,10.1109-ase.2009.20,ase,Occupying the niche,Describing the research design and the methods used,LETRA_PRODIGY,M3-S09
85,23,Intersecting the results of the forward analysis with the attack pattern gives us the potential attack strings if the program is vulnerable.,10.1109-ase.2009.20,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
86,24,The backward analysis computes an overapproximation of all possible inputs that can generate those attack strings.,10.1109-ase.2009.20,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
87,25,The result is a DFA for each user input that corresponds to the vulnerability signature.,10.1109-ase.2009.20,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
88,26,"The techniques proposed in this paper build on our earlier results on string analysis reported in [2], where we only discuss forward symbolic analysis and do not address vulnerability signature generation problem.",10.1109-ase.2009.20,ase,Establishing a niche,"Identifying a knowledge gap, a lack of or paucity of previous research in the field of study",LETRA_PRODIGY,M2-S06
89,27,The vulnerability signature generation approach presented in [3] is a backward analysis similar to the second phase of our analysis.,10.1109-ase.2009.20,ase,Occupying the niche,Describing the research design and the methods used,LETRA_PRODIGY,M3-S09
90,28,"However, they require loop invariants to be provided by the user in order to handle loops whereas we use an automated approach based on widening, and they focus on weakest precondition computation for binary programs whereas we focus on string manipulation operations.",10.1109-ase.2009.20,ase,Occupying the niche,Describing the research design and the methods used,LETRA_PRODIGY,M3-S09
91,29,"Compared to recent work on attack generation (for example [4]), we propose a sound static analysis approach that characterizes all possible inputs that can exploit a given attack pattern, rather than generation of concrete attacks using dynamic analysis techniques based on given exploits.",10.1109-ase.2009.20,ase,Occupying the niche,Describing the research design and the methods used,LETRA_PRODIGY,M3-S09
92,30,Our key contributions in this paper are 1),10.1109-ase.2009.20,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
93,31,"The backward symbolic analysis based on backward image computation for string operations such as concatenation and replacement, and 2)",10.1109-ase.2009.20,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
94,32,A new approach to vulnerability signature generation problem that combines symbolic forward and backward analyses.,10.1109-ase.2009.20,ase,Occupying the niche,Explaining the significance or give reasons for personal interest in the current study,LETRA_PRODIGY,M3-S10
96,1,"However, few practical tools have been used by the industry because most existing management techniques focus on test case management based on coverage information.",10.1109-ase.2009.22,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
97,2,Techniques based on coverage information may have the following disadvantages.,10.1109-ase.2009.22,ase,Occupying the niche,Describing the limitations of the current study,LETRA_PRODIGY,M3-S11
98,3,"First, before applying these techniques, testers need to run instrumented source code to collect coverage information, and the process may be timeconsuming.",10.1109-ase.2009.22,ase,Occupying the niche,Describing the limitations of the current study,LETRA_PRODIGY,M3-S11
99,4,"Second, coverage information can be of large volume for large programs, and thus the storage and man- ∗Corresponding Author. agement of coverage information may be a burden for developers.",10.1109-ase.2009.22,ase,Occupying the niche,Describing the limitations of the current study,LETRA_PRODIGY,M3-S11
100,5,"Third, changes of source code in software evolution may make source code inconsistent with previous collected coverage information.",10.1109-ase.2009.22,ase,Occupying the niche,Describing the limitations of the current study,LETRA_PRODIGY,M3-S11
101,6,"Finally, developers may modify some existing test cases or add new test cases in regression testing, making previous coverage information inconsistent with test cases in the test suite.",10.1109-ase.2009.22,ase,Occupying the niche,Describing the limitations of the current study,LETRA_PRODIGY,M3-S11
102,7,These techniques may thus be negatively impacted.,10.1109-ase.2009.22,ase,Occupying the niche,Describing the limitations of the current study,LETRA_PRODIGY,M3-S11
103,8,"Nowadays, the JUnit testing framework has been widely used for testing Java software.",10.1109-ase.2009.22,ase,Establishing the territory,Establishing the importance of the topic for the world or society,LETRA_PRODIGY,M1-S02
104,9,"Large programs usually accumulate numerous JUnit test cases during the period of evolution, and developers may need tools to manage JUnit test cases.",10.1109-ase.2009.22,ase,Establishing the territory,Establishing the importance of the topic for the world or society,LETRA_PRODIGY,M1-S02
105,10,"Different from traditional test case formats, the format of each JUnit test case is a piece of executable source code that contains a sequence of method invocations.",10.1109-ase.2009.22,ase,Establishing the territory,Establishing the importance of the topic for the world or society,LETRA_PRODIGY,M1-S02
106,11,"Therefore, it is possible to extract the static call graph of each JUnit test case and use this information to guide management tasks.",10.1109-ase.2009.22,ase,Occupying the niche,Describing the research design and the methods used,LETRA_PRODIGY,M3-S09
107,12,"In this paper, we present an Eclipse IDE plug-in (named Jtop), aiming to facilitate the management of JUnit test cases based on static analysis of the program under test and its corresponding JUnit test cases.",10.1109-ase.2009.22,ase,Occupying the niche,"Stating the focus, aim, purpose or argument of the current research",LETRA_PRODIGY,M3-S07
108,0,Cryptography is the primary means of protecting sensitive data on digital devices from eavesdropping or forgery.,10.1109-ase.2017.8115707,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
109,1,"For this protection to be effective, the used cryptographic algorithms must be conceptually secure, implemented correctly, and used securely in the respective application.",10.1109-ase.2017.8115707,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
110,2,"Despite the availability of mature and (still-)secure-to-use cryptographic algorithms, several studies have indicated that application developers struggle with using the Application Programming Interfaces (APIs) of libraries that implement these algorithms.",10.1109-ase.2017.8115707,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
111,3,"For example, Lazar et al. [14] investigated 269 cryptographyrelated vulnerabilities and found that only 17% are related to faulty implementations of algorithms, while 83% result from application developers misusing cryptographic APIs.",10.1109-ase.2017.8115707,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
112,4,"Other studies suggest that approximately 90% of applications using cryptographic APIs contain at least one misuse [6, 9]. To investigate the reasons for this widespread misuse, we previously triangulated the results of four empirical studies, one of which was a survey of Java developers who previously used cryptographic APIs",10.1109-ase.2017.8115707,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
114,6,Our results show that the majority of participants found the respective APIs hard to use.,10.1109-ase.2017.8115707,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
115,7,"When asked what would help them use these APIs, they suggested better documentation, different API designs, and additional tool support.",10.1109-ase.2017.8115707,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
116,8,"In terms of API design, participants used terms like use cases, task-based, and high-level.",10.1109-ase.2017.8115707,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
117,9,These suggestions indicate that developers struggle with the fact that cryptographic APIs reside on the low level of cryptographic algorithms instead of being more functionality-oriented APIs that provide convenient methods such as encryptFile().,10.1109-ase.2017.8115707,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
118,10,"When it comes to tool support, participants suggested tools like a CryptoDebugger, analysis tools that find misuses and provide code templates or generate code for common functionality.",10.1109-ase.2017.8115707,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
119,11,"These suggestions indicate that participants not only lack the domain knowledge, but also struggle with APIs themselves and how to use them.",10.1109-ase.2017.8115707,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
120,12,"In this paper, we present CogniCrypt, an Eclipse plugin that enables easier use of cryptographic APIs.",10.1109-ase.2017.8115707,ase,Occupying the niche,"Stating the focus, aim, purpose or argument of the current research",LETRA_PRODIGY,M3-S07
121,13,"In previous work, we outlined an early vision for CogniCrypt [2].",10.1109-ase.2017.8115707,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
122,14,We have now implemented a prototype of the tool that currently supports developers in the following ways:,10.1109-ase.2017.8115707,ase,Occupying the niche,Describing the research design and the methods used,LETRA_PRODIGY,M3-S09
123,15,"• Generate secure implementations for common program- ming tasks that involve cryptography (e.g., data encryption).",10.1109-ase.2017.8115707,ase,Occupying the niche,Describing the research design and the methods used,LETRA_PRODIGY,M3-S09
125,17,Analyze developer code and generate alerts for misuses of cryptographic APIs.,10.1109-ase.2017.8115707,ase,Occupying the niche,Describing the research design and the methods used,LETRA_PRODIGY,M3-S09
126,0,"Companies such as Boeing and Microsoft have been using threat modeling [38] as a lightweight approach to reason about security, to capture and reuse security expertise and to find security design flaws during development.",10.1145-1858996.1859001,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
127,1,Proponents of threat modeling have employed it in a number of industrial-scale projects and report impressive results.,10.1145-1858996.1859001,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
128,2,"Microsoft, for example, claims that threat modeling led to a 50% reduction in security vulnerabilities [16], and around 1,500 data flow diagrams (DFDs) were manually reviewed during the development of Windows Vista.",10.1145-1858996.1859001,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
134,8,"Then, during the security review, the experts study the architecture, assign to the components different architectural properties such as trustLevel or privacyLevel, and enumerate all possible communication between the more trusted and the less trusted components of the system.",10.1145-1858996.1859001,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
135,9,"They also analyze the communication between components that contain personally identifiable information, and those that do not.",10.1145-1858996.1859001,ase,Establishing the territory,Referring to previous work to establish what is already known,LETRA_PRODIGY,M1-S04
136,10,One potential hurdle to achieving significantly better defect reduction is that the architecture may not show all the communication that is present in the system.,10.1145-1858996.1859001,ase,Establishing a niche,"Identifying and highlighting inadequacies, weaknesses, controversies and negative outcomes within the field of study",LETRA_PRODIGY,M2-S05
137,11,"As a result, an architectural-level analysis may be incomplete.",10.1145-1858996.1859001,ase,Establishing a niche,"Identifying and highlighting inadequacies, weaknesses, controversies and negative outcomes within the field of study",LETRA_PRODIGY,M2-S05
138,12,"While any architecture-based approach suffers from these problems, security architectures pose special challenges.",10.1145-1858996.1859001,ase,Establishing a niche,"Identifying and highlighting inadequacies, weaknesses, controversies and negative outcomes within the field of study",LETRA_PRODIGY,M2-S05
139,13,"A security architecture1 is an example of a runtime architecture, which shows runtime components and connectors, uses hierarchical decomposition, and partitions a system into tiers [8]. Today, the tools for extracting and analyzing conformance of runtime architectures are immature [22, 11], compared to tools for the code architecture [31].",10.1145-1858996.1859001,ase,Establishing a niche,"Identifying and highlighting inadequacies, weaknesses, controversies and negative outcomes within the field of study",LETRA_PRODIGY,M2-S05
140,14,"Moreover, a security analysis must consider the worst and not the typical case of possible component communication.",10.1145-1858996.1859001,ase,Establishing a niche,"Identifying and highlighting inadequacies, weaknesses, controversies and negative outcomes within the field of study",LETRA_PRODIGY,M2-S05
141,15,The analysis results are valid only if the architecture reveals all objects and relations that may exist at runtime—in any program run.,10.1145-1858996.1859001,ase,Establishing a niche,"Identifying and highlighting inadequacies, weaknesses, controversies and negative outcomes within the field of study",LETRA_PRODIGY,M2-S05
142,16,"This requires a static analysis, which can capture all possible executions.",10.1145-1858996.1859001,ase,Establishing a niche,"Identifying a knowledge gap, a lack of or paucity of previous research in the field of study",LETRA_PRODIGY,M2-S06
